original_title,release_year,director,production_companies,genres,budget (millions),revenue (millions),profit (millions),roi,popularity,vote_average,vote_count
Dracula II: Ascension,2003,Patrick Lussier,Dimension Films,Horror,0.0,0.0,0.0,,0.34,4.4,16
Batman: Dead End,2003,Sandy Collora,NBV Productions,Action|Crime,0.0,0.0,0.0,,0.33,5.9,11
The In-Laws,2003,Andrew Fleming,Warner Bros. Pictures|Franchise Pictures,Action|Comedy,0.0,20.44,20.44,,0.33,5.5,29
How to Deal,2003,Clare Kilner,Golden Mean|Focus Features|Radar Pictures,Drama|Comedy|Romance,0.0,0.0,0.0,,0.33,5.3,26
Mimic: Sentinel,2003,J.T. Petty,Neo Art & Logic|Dimension Films,Horror|Science Fiction|Thriller,0.0,0.0,0.0,,0.33,5.2,11
Les Enfants de la Pluie,2003,Philippe Leclerc,MK2 Production,Animation|Adventure,0.0,0.0,0.0,,0.33,7.6,10
Scooby-Doo! and the Monster of Mexico,2003,Scott Jeralds,Unknown,Animation|Comedy|Family|Mystery,0.0,0.0,0.0,,0.33,6.1,17
Absolon,2003,David DeBartolomÃ©,Unknown,Action|Thriller|Science Fiction,0.0,0.0,0.0,,0.32,5.0,13
Angels in America,2003,Mike Nichols,Avenue Pictures Productions|Panorama Films|HBO Films,Drama|Fantasy,60.0,0.0,-60.0,-1.0,0.32,6.1,31
Saints and Soldiers,2003,Ryan Little,Excel Entertainment,Action|Adventure|Drama|History|War,0.78,0.0,-0.78,-1.0,0.32,6.7,46
Inspector Gadget 2,2003,Alex Zamm,Walt Disney Pictures,Action|Adventure|Comedy|Family,80.0,0.0,-80.0,-1.0,0.32,4.3,55
Willard,2003,Glen Morgan,New Line Cinema|Hard Eight Pictures,Horror,22.0,0.0,-22.0,-1.0,0.31,5.3,30
The Challenge,2003,Craig Shapiro,Unknown,Action|Adventure|Comedy|Family|Science Fiction,0.0,0.0,0.0,,0.46,5.9,24
Scooby-Doo! And the Legend of the Vampire,2003,Scott Jeralds,Warner Bros.,Animation|Comedy|Family,0.0,0.0,0.0,,0.3,5.8,16
The Statement,2003,Norman Jewison,Sony Pictures Classics|BBC Films|Serendipity Point Films|TÃ©lÃ©film Canada|Odessa Films,Drama|Thriller,0.0,0.0,0.0,,0.29,5.5,10
Calendar Girls,2003,Nigel Cole,Harbour Pictures|Touchstone Pictures,Comedy,10.0,96.54,86.54,8.65,0.29,6.5,46
Dead End,2003,Jean-Baptiste Andrea|Fabrice Canepa,Sagittaire Films|Captain Movies,Mystery|Horror|Thriller,0.0,0.0,0.0,,0.29,6.5,49
Foolproof,2003,William Phillips,Alliance Atlantis Communications|TÃ©lÃ©film Canada|The Harold Greenberg Fund|Canadian Film or Video Production Tax Credit (CPTC)|Movie Central Network,Action,8.256269,0.46,-7.796269,-0.94,0.28,6.4,18
My Life Without Me,2003,Isabel Coixet,El Deseo|Milestone Productions,Drama|Romance,0.0,9.73,9.73,,0.28,6.7,44
Kontroll,2003,NimrÃ³d Antal,CafÃ© Film|Bonfire,Comedy|Crime|Thriller,0.5,0.0,-0.5,-1.0,0.18,6.6,32
Mambo Italiano,2003,Ã‰mile Gaudreault,icon,Comedy|Romance,4.361898,3.03,-1.3318980000000002,-0.31,0.28,5.2,13
Capturing the Friedmans,2003,Andrew Jarecki,Unknown,Documentary,0.0,3.12,3.12,,0.28,7.4,45
Agent Cody Banks,2003,Harald Zwart,Splendid Pictures|Maverick Films|Metro-Goldwyn-Mayer (MGM)|Dylan Sellers Productions|Madacy Entertainment,Action,28.0,58.8,30.799999999999997,1.1,0.28,4.9,161
The Big Empty,2003,Steve Anderson,North by Northwest Entertainment|Echo Lake Entertainment|Aura Entertainment,Comedy|Drama|Mystery|Science Fiction,0.0,0.0,0.0,,0.27,5.2,10
De Zaak Alzheimer,2003,Erik Van Looy,Unknown,Drama|Thriller|Foreign|Action|Crime,0.0,0.0,0.0,,0.27,6.3,13
Biker Boyz,2003,Reggie Rock Bythewood,DreamWorks Pictures,Action|Drama,24.0,23.51,-0.48999999999999844,-0.02,0.26,5.8,30
The Good Thief,2003,Neil Jordan,Fox Searchlight Pictures|Alliance Atlantis Communications|Metropolitan Films|TNVO,Crime|Drama|Thriller,0.0,0.0,0.0,,0.35,6.2,14
The Ghost of Lord Farquaad,2003,Simon J. Smith,DreamWorks Animation,Fantasy|Animation|Comedy|Science Fiction|Family,0.0,0.0,0.0,,0.69,6.5,20
Harvie Krumpet,2003,Adam Elliot,Melodrama Pictures,Animation|Comedy,0.0,0.0,0.0,,0.1,6.8,23
Ghosts of the Abyss,2003,James Cameron,Walt Disney Pictures|Walden Media|Earthship Productions,Family|Documentary,13.0,17.04,4.039999999999999,0.31,0.25,6.7,23
American Splendor,2003,Shari Springer Berman|Robert Pulcini,Unknown,Comedy|Drama,0.0,6.0,6.0,,0.57,6.7,60
Hitler: The Rise of Evil,2003,Christian Duguay,Alliance Atlantis Communications,Drama|War|History,0.0,0.0,0.0,,0.25,6.7,65
Shade,2003,Damian Nieman,Cobalt Media Group|Judgement Pictures|Hammond Entertainment,Action|Thriller|Crime,6.8,0.0,-6.8,-1.0,0.25,6.3,38
Hope Springs,2003,Mark Herman,Fragile Films|Scala Films|Touchstone Pictures|Prominent Features|Mumbo Jumbo Productions,Comedy|Romance,0.0,0.0,0.0,,0.25,4.8,15
The Missing,2003,Ron Howard,Columbia Pictures|Imagine Entertainment|Revolution Studios|Daniel Ostroff Productions,Thriller|Western|Adventure,60.0,0.0,-60.0,-1.0,0.25,5.8,76
Stuck on You,2003,Bobby Farrelly|Peter Farrelly,Twentieth Century Fox Film Corporation|Conundrum Entertainment,Comedy,55.0,33.83,-21.17,-0.38,0.35,4.8,104
Chouchou,2003,Merzak Allouache,Fechner Audiovisuel|KS2 Productions|Eclair num%C3%A9rique,Comedy,0.0,0.0,0.0,,0.24,5.1,61
Fear X,2003,Nicolas Winding Refn,Det Danske Filminstitut|Nordisk Film|TV2 Danmark|NWR Film Productions,Thriller|Mystery|Foreign,0.0,0.0,0.0,,0.13,5.8,20
Aileen: Life and Death of a Serial Killer,2003,Joan Churchill|Nick Broomfield,Unknown,Documentary|Drama,0.0,0.0,0.0,,0.24,7.3,13
Le temps du loup,2003,Michael Haneke,Canal Plus|Wega Film|Bavaria Film,Drama,0.0,0.0,0.0,,0.24,5.7,15
After School Special,2003,David M. Evans,Motion Picture Corporation of America (MPCA)|International West Pictures (IWP)|Original Voices Inc.|Talent Network Media GmbH|CoproducciÃ³n Alemania-USA,Comedy,0.0,0.0,0.0,,0.24,4.8,24
The Second Renaissance Part I,2003,Mahiro Maeda,Studio 4Â°C,Science Fiction|Animation,0.0,0.0,0.0,,0.24,7.2,16
Out for a Kill,2003,Michael Oblowitz,Unknown,Action|Thriller,14.0,0.0,-14.0,-1.0,0.24,5.0,15
Grind,2003,Casey La Scala,Pandora Cinema|Gerber Pictures|900 Films|Gaylord Films|Asphalt Productions,Action|Comedy|Family,0.0,0.0,0.0,,0.24,6.3,17
Dot the I,2003,Matthew Parkhill,Alquimia Cinema|Arcane Pictures,Drama|Comedy|Thriller|Romance|Foreign,0.0,0.0,0.0,,0.23,5.2,12
Carolina,2003,Marleen Gorris,Hollywood Partners|Carol Baum Productions|Bregman-IAC Productions|Living Pictures|The Pitt Group,Comedy|Romance,0.0,0.0,0.0,,0.14,5.9,11
Tiptoes,2003,Matthew Bright,StudioCanal|Wild Bunch|Langley Productions|Canal+|Marshak / Zachary,Comedy|Drama|Romance,0.0,0.0,0.0,,0.22,4.5,10
The Corporation,2003,Mark Achbar|Jennifer Abbott,Big Picture Media Corporation,Documentary,0.0,4.5,4.5,,0.1,7.1,42
Owning Mahowny,2003,Richard Kwietniowski,Alliance Atlantis Communications|Natural Nylon Entertainment|TÃ©lÃ©film Canada|Astral Media|Canadian Film or Video Production Tax Credit (CPTC),Crime|Drama|Thriller,0.0,0.0,0.0,,0.21,6.4,11
Kid's Story,2003,Shinichiro Watanabe,Studio 4Â°C,Science Fiction|Animation,1e-05,0.0,-1e-05,-1.0,0.21,6.8,16
Frank Herbert's Children of Dune,2003,Greg Yaitanes,New Amsterdam Entertainment|Blixa Film Productktion|Hallmark Entertainment,Drama|Science Fiction|Fantasy|Adventure,20.0,0.0,-20.0,-1.0,0.21,6.5,35
The Company,2003,Robert Altman,Sony Pictures Classics,Drama|Thriller,15.0,2.28,-12.72,-0.85,0.37,4.9,12
Natural City,2003,Byung-chun Min,Jowoo Entertainment|Tube Entertainment,Science Fiction,6.0,0.0,-6.0,-1.0,0.39,4.9,14
Flywheel,2003,Alex Kendrick,Unknown,Drama|Family,0.0,0.0,0.0,,0.2,6.9,13
Crime Spree,2003,Brad Mirman,Bac Films|GFT Entertainment|Studio Eight Productions|Vision View Entertainment,Action|Comedy,0.0,0.0,0.0,,0.2,6.3,13
44 Minutes: The North Hollywood Shoot-Out,2003,Yves Simoneau,Chapman/Leonard Studio Equipment,Action,10.0,0.0,-10.0,-1.0,0.2,6.2,13
DÃ©dales,2003,RenÃ© Manzor,M6 Films,Crime|Thriller|Mystery|Drama,0.0,0.0,0.0,,0.21,6.5,10
Charlie: The Life and Art of Charles Chaplin,2003,Richard Schickel,Unknown,Documentary,0.0,0.0,0.0,,0.19,6.4,17
Alien Hunter,2003,Ron Krauss,Nu Image Films|Sandstorm Films|Millennium Films,Thriller|Science Fiction|Action,7.0,0.0,-7.0,-1.0,0.2,4.2,16
Leprechaun: Back 2 tha Hood,2003,Steven Ayromlooi,Lions Gate Enterntainment,Horror|Comedy|Fantasy,0.0,0.0,0.0,,0.2,6.0,12
The Cooler,2003,Wayne Kramer,ContentFilm|Pierce/Williams Entertainment,Drama|Romance,32.0,0.0,-32.0,-1.0,0.2,6.5,33
Good Boy!,2003,John Robert Hoffman,Jim Henson Pictures|Metro-Goldwyn-Mayer (MGM),Comedy|Family|Science Fiction,17.0,0.0,-17.0,-1.0,0.19,4.9,18
Touching the Void,2003,Kevin Macdonald,Darlow Smithson Productions|UK Film Council|PBS|Film4,Documentary|Action|Adventure,0.0,13.89,13.89,,0.19,7.5,60
Veronica Guerin,2003,Joel Schumacher,Jerry Bruckheimer Films|Touchstone Pictures,Drama|Crime|Thriller,17.0,1.57,-15.43,-0.91,0.19,6.7,26
Luther,2003,Eric Till,Eikon Film,Drama|History,0.0,0.0,0.0,,0.62,6.3,46
Rugrats Go Wild,2003,John Eng|Norton Virgien,Nickelodeon Movies|Paramount Animation,Animation|Family,0.0,0.0,0.0,,0.19,5.3,32
Soldier's Girl,2003,Frank Pierson,Bachrach/Gottlieb Productions,Drama|Romance|Crime,0.0,0.0,0.0,,0.19,5.9,15
All the Real Girls,2003,David Gordon Green,Unknown,Drama|Romance,0.0,0.0,0.0,,0.22,5.6,15
Blind Horizon,2003,Michael Haussman,Millennium Films,Drama|Thriller,0.0,0.0,0.0,,0.1,5.9,14
My Boss's Daughter,2003,David Zucker,Dimension Films,Comedy|Romance,14.0,0.0,-14.0,-1.0,0.94,4.4,100
Bright Young Things,2003,Stephen Fry,Unknown,Comedy|Foreign,0.0,0.0,0.0,,0.17,5.4,11
X2,2003,Bryan Singer,Twentieth Century Fox Film Corporation|Donners' Company|Bad Hat Harry Productions|Marvel Enterprises|XM2 Productions,Adventure|Action|Science Fiction|Thriller,110.0,214.95,104.94999999999999,0.95,0.18,6.7,2222
Dickie Roberts: Former Child Star,2003,Sam Weisman,Paramount Pictures|Happy Madison Productions,Comedy,0.0,0.0,0.0,,0.17,5.4,27
Wonderland,2003,James Cox,Lions Gate Films,Crime|Drama|Mystery|Thriller,5.0,2.47,-2.53,-0.51,0.16,6.4,23
Northfork,2003,Michael Polish,Unknown,Fantasy|Drama|Science Fiction,0.0,0.0,0.0,,0.16,5.7,10
Love Object,2003,Robert Parigi,ContentFilm|Base 12 Productions|Catapult Films,Drama|Horror|Comedy|Thriller|Romance,0.0,0.0,0.0,,0.16,5.0,11
Nothing,2003,Vincenzo Natali,Unknown,Comedy|Fantasy|Science Fiction,0.0,0.0,0.0,,0.16,5.5,14
Helen of Troy,2003,John Kent Harrison,Fuel Entertainment,War|Action|Drama|Romance,0.0,0.0,0.0,,0.15,5.5,12
Love Comes Softly,2003,"Michael Landon, Jr.",Unknown,Drama|Romance|Western,0.0,0.0,0.0,,0.15,6.1,14
Camp,2003,Todd Graff,Laughlin Park Pictures|IFC Productions,Comedy|Music,0.0,1.63,1.63,,0.15,4.9,12
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,Errol Morris,Sony Pictures Classics|SenArt Films|Radical Media,War|Documentary|History,0.0,0.0,0.0,,0.15,6.7,28
The Shape of Things,2003,Neil LaBute,StudioCanal|USA Films|Pretty Pictures|Working Title Films,Comedy|Drama|Romance,0.0,0.0,0.0,,0.15,6.1,13
Alex & Emma,2003,Rob Reiner,Epsilon Motion Pictures|Franchise Pictures|Escape Artists|Reiner-Greisman,Comedy|Romance,30.0,15.37,-14.63,-0.49,0.14,5.0,43
From Justin to Kelly,2003,Robert Iscove,20th Century Fox,Comedy|Romance,12.0,4.92,-7.08,-0.59,0.14,3.5,12
Deliver Us from Eva,2003,Gary Hardwick,Unknown,Comedy|Drama|Romance|Science Fiction|Thriller,0.0,0.0,0.0,,0.12,6.3,12
Les Clefs de bagnole,2003,Laurent Baffie,Laurent Baffie Productions,Comedy,0.569217,0.57,0.0007829999999999782,0.0,0.13,4.8,12
Air Bud: Spikes Back,2003,Mike Southon,Walt Disney Studios HE,Comedy|Family,5.0,0.0,-5.0,-1.0,0.13,4.5,11
August Underground's Mordum,2003,Fred Vogel|Jerami Cruise,Unknown,Horror,0.0003,0.0,-0.0003,-1.0,0.02,4.3,11
Undead,2003,Michael Spierig|Peter Spierig,Spierigfilm,Horror|Action|Comedy|Science Fiction,0.0,0.0,0.0,,0.13,5.5,24
Saw,2003,James Wan,Twisted Pictures,Crime|Thriller|Horror,0.0,0.0,0.0,,0.12,6.4,40
The Diary of Ellen Rimbauer,2003,Craig R. Baxley,Unknown,Drama|Horror|Mystery|Thriller,0.0,0.0,0.0,,0.18,4.9,13
Final Flight of the Osiris,2003,Andrew R. Jones,Square USA,Science Fiction|Action|Animation,0.0,0.0,0.0,,0.11,6.5,17
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,Kazuhisa TakenÃ´chi,Daft Life Ltd. Co.|Toei Animation,Animation|Science Fiction|Music,0.0,0.0,0.0,,0.2,7.2,49
I Capture the Castle,2003,Tim Fywell,Isle of Man Film Commission|British Broadcasting Corporation (BBC)|Trademark Films|Take 3 Partnership,Drama|Romance,0.0,0.0,0.0,,0.1,7.2,14
Sylvia,2003,Christine Jeffs,Focus Films,Drama|Romance,7.0,10.0,3.0,0.43,0.1,5.6,17
The Foreigner,2003,Michael Oblowitz,Columbia Pictures|Franchise Pictures,Action|Thriller,16.7,0.0,-16.7,-1.0,0.1,4.3,14
Tupac: Resurrection,2003,Lauren Lazin,Paramount Pictures|MTV Films,Music|Documentary,0.0,7.81,7.81,,0.24,8.0,15
De fem benspÃ¦nd,2003,Lars von Trier|JÃ¸rgen Leth,Unknown,Drama|Documentary|Foreign,0.0,0.0,0.0,,0.1,5.7,14
Homeless to Harvard: The Liz Murray Story,2003,Peter Levin,Barnet Bain Films,Drama|TV Movie,0.0,0.0,0.0,,0.09,6.0,14
Chalte Chalte,2003,Aziz Mirza,Dreamz Unlimited|United Motion Pictures,Comedy|Drama|Romance,0.0,0.0,0.0,,0.09,6.3,16
The Snow Walker,2003,Charles Martin Smith,Unknown,Action|Adventure|Drama,0.0,0.0,0.0,,0.08,4.5,13
"Buongiorno, notte",2003,Marco Bellocchio,Rai Cinemafiction|Filmalbatros,Drama,0.0,0.0,0.0,,0.08,5.3,13
Effroyables jardins,2003,Jean Becker,Canal+,Comedy|Drama,0.0,0.0,0.0,,0.08,7.6,15
Madea's Class Reunion,2003,Tyler Perry,Unknown,Comedy|Music,0.0,0.0,0.0,,0.07,6.9,12
Fear of the Dark,2003,K.C. Bascombe,Constellation Entertainment|Faulkner Productions,Horror,0.0,0.0,0.0,,0.06,5.0,13
Bienvenue chez les Rozes,2003,Francis Palluau,TF1 Films Productions|TÃ©lÃ©ma Productions|TPS Star,Comedy,0.0,0.0,0.0,,0.06,5.5,16
Indiana Jones: Making the Trilogy,2003,Laurent Bouzereau,Lucasfilms,Documentary,0.0,0.0,0.0,,0.06,7.2,10
A Detective Story,2003,Shinichiro Watanabe,Studio 4Â°C,Science Fiction|Animation,0.0,0.0,0.0,,0.17,7.4,12
Gomez & TavarÃ¨s,2003,Gilles Paquet-Brenner,M6 Films|Hugo Films,Crime|Comedy|Action,0.0,0.0,0.0,,0.14,4.4,11
The Young Black Stallion,2003,Simon Wincer,Walt Disney Pictures,Action|Adventure|Drama|Family,0.0,0.0,0.0,,0.04,4.8,11
The Saddest Music in the World,2003,Guy Maddin,Unknown,Comedy|Drama|Fantasy|Music,0.0,0.0,0.0,,0.04,6.1,13
The Room,2003,Tommy Wiseau,Chloe Productions|TPW Films|Wiseau-Films,Drama|Romance,0.0,0.0,0.0,,0.04,4.6,59
Eloise at Christmastime,2003,Kevin Lima,Handmade Films Ltd.|DiNovi Pictures,Family|Comedy|Drama,0.0,0.0,0.0,,0.04,4.6,11
Turbo Charged Prelude to 2 Fast 2 Furious,2003,Philip G. Atwell,Original Film,Action,0.0,0.0,0.0,,0.03,6.8,32
Matriculated,2003,Peter Chung,DNA,Animation|Drama|Science Fiction,0.0,0.0,0.0,,0.05,7.1,12
The Second Renaissance Part II,2003,Mahiro Maeda,Studio 4Â°C,Science Fiction|Animation,0.0,0.0,0.0,,0.01,7.2,15
A Wrinkle in Time,2003,John Kent Harrison,BLT Productions,Drama|Science Fiction|Family,0.0,0.0,0.0,,0.05,4.9,10
Eddie Izzard: Glorious,1997,Peter Richardson,Unknown,Comedy,0.0,0.0,0.0,,6.67,5.5,11
Titanic,1997,James Cameron,Paramount Pictures|Twentieth Century Fox Film Corporation|Lightstorm Entertainment,Drama|Romance|Thriller,200.0,1845.03,1645.03,8.23,4.36,7.3,4654
Hercules,1997,John Musker|Ron Clements,Walt Disney Pictures,Animation|Family|Fantasy|Adventure|Comedy,85.0,252.71,167.71,1.97,3.49,7.0,909
Men in Black,1997,Barry Sonnenfeld,Amblin Entertainment|Columbia Pictures Corporation|Parkes+MacDonald Image Nation,Action|Adventure|Comedy|Science Fiction,90.0,589.39,499.39,5.55,3.15,6.7,2864
Gattaca,1997,Andrew Niccol,Columbia Pictures|Jersey Films,Thriller|Science Fiction|Mystery|Romance,36.0,12.53,-23.47,-0.65,3.08,7.3,1117
The Fifth Element,1997,Luc Besson,Columbia Pictures|Gaumont,Adventure|Fantasy|Action|Thriller|Science Fiction,90.0,263.92,173.92000000000002,1.93,2.97,7.1,2649
Batman & Robin,1997,Joel Schumacher,PolyGram Filmed Entertainment|Warner Bros.,Action|Crime|Fantasy|Science Fiction,125.0,238.21,113.21000000000001,0.91,2.6,4.4,828
Drive,1997,Steve Wang,Overseas FilmGroup,Action|Adventure|Science Fiction|Comedy,3.5,0.0,-3.5,-1.0,2.41,6.3,10
Tomorrow Never Dies,1997,Roger Spottiswoode,Eon Productions,Adventure|Action|Thriller,110.0,333.01,223.01,2.03,2.39,5.9,565
Good Will Hunting,1997,Gus Van Sant,Miramax Films|Lawrence Bender Productions|Be Gentlemen Limited Partnership,Drama,10.0,225.93,215.93,21.59,2.2,7.7,1592
Jackie Brown,1997,Quentin Tarantino,Miramax Films,Action|Crime|Drama|Thriller,12.0,39.67,27.67,2.31,2.11,7.1,763
Alien: Resurrection,1997,Jean-Pierre Jeunet,Twentieth Century Fox Film Corporation|Brandywine Productions,Science Fiction|Horror|Action,70.0,162.0,92.0,1.31,2.06,5.9,712
The Game,1997,David Fincher,PolyGram Filmed Entertainment|A&B Producoes|Popaganda Films,Drama|Thriller|Mystery,50.0,109.42,59.42,1.19,2.01,7.3,851
Event Horizon,1997,Paul W.S. Anderson,Paramount Pictures|Impact Pictures|Golar Productions,Horror|Science Fiction|Mystery,60.0,26.67,-33.33,-0.56,1.95,6.2,358
Anastasia,1997,Don Bluth|Gary Goldman,Twentieth Century Fox Film Corporation|Fox Animation Studios|Fox Family Films|The Big Gun Project|Little Wolf Entertainment,Animation|Family,53.0,139.8,86.80000000000001,1.64,1.93,7.2,806
Home Alone 3,1997,Raja Gosnell,Twentieth Century Fox Film Corporation|Hughes Entertainment,Comedy|Family,32.0,79.08,47.08,1.47,1.62,5.2,331
Austin Powers: International Man of Mystery,1997,Jay Roach,New Line Cinema|Capella International|Eric's Boy,Science Fiction|Comedy|Crime,16.5,67.68,51.18000000000001,3.1,1.62,6.3,581
Starship Troopers,1997,Paul Verhoeven,TriStar Pictures|Touchstone Pictures|Big Bug Pictures,Adventure|Action|Thriller|Science Fiction,105.0,121.21,16.209999999999994,0.15,1.55,6.5,929
The Full Monty,1997,Peter Cattaneo,Channel Four Films|Twentieth Century Fox Film Corporation|Redwave Films,Comedy,3.5,257.85,254.35000000000002,72.67,1.41,6.4,163
Con Air,1997,Simon West,Jerry Bruckheimer Films|Kouf/Bigelow Productions|Touchstone Pictures|Hiett Designs of Las Vegas|Runway Pictures Inc,Action|Thriller|Crime,75.0,224.01,149.01,1.99,1.37,6.5,728
Face/Off,1997,John Woo,Paramount Pictures|Permut Presentations|WCG Entertainment Productions|Douglas/Reuther Productions|Touchstone Pictures,Action|Crime|Science Fiction|Thriller,80.0,245.68,165.68,2.07,1.33,6.7,955
Donnie Brasco,1997,Mike Newell,TriStar Pictures|Mark Johnson Productions|Phoenix Pictures|Baltimore Pictures,Crime|Drama|Thriller,35.0,41.95,6.950000000000003,0.2,1.31,7.2,615
I Know What You Did Last Summer,1997,Jim Gillespie,Columbia Pictures Corporation|Mandalay Entertainment|Summer Knowledge LLC,Horror|Thriller|Mystery,17.0,125.59,108.59,6.39,1.31,5.5,348
The Devil's Advocate,1997,Taylor Hackford,Regency Enterprises|Monarchy Enterprises B.V.|Kopelson Entertainment|Warner Bros.|New Regency Pictures,Drama|Horror|Mystery|Thriller,57.0,152.94,95.94,1.68,1.27,6.9,717
Anaconda,1997,Luis Llosa,Columbia Pictures Corporation|Middle Fork Productions|Iguana Producciones|Skylight Cinema Foto Art|St. Tropez Films,Adventure|Horror|Thriller,45.0,136.89,91.88999999999999,2.04,1.23,4.7,331
Chasing Amy,1997,Kevin Smith,Miramax Films|View Askew Productions,Comedy|Drama|Romance,0.25,12.02,11.77,47.08,1.21,6.7,227
Dante's Peak,1997,Roger Donaldson,Universal Pictures|Pacific Western,Action|Adventure|Thriller,116.0,178.13,62.129999999999995,0.54,1.18,5.5,216
Speed 2: Cruise Control,1997,Jan de Bont,Twentieth Century Fox Film Corporation|Blue Tulip Productions,Action|Adventure|Thriller,160.0,164.51,4.509999999999991,0.03,1.17,4.4,233
L.A. Confidential,1997,Curtis Hanson,Regency Enterprises|Wolper Organization|Warner Bros.,Crime|Drama|Mystery|Thriller,35.0,126.22,91.22,2.61,1.12,7.5,728
Scream 2,1997,Wes Craven,Miramax Films|Konrad Pictures|Maven Entertainment|Dimension Films,Horror|Mystery,24.0,172.36,148.36,6.18,1.11,6.0,442
Liar Liar,1997,Tom Shadyac,Imagine Entertainment|Universal Pictures,Comedy,45.0,181.0,136.0,3.02,1.09,6.2,774
Beauty and the Beast: The Enchanted Christmas,1997,Andrew Knight,Walt Disney Television Animation|Walt Disney Animation Canada,Animation|Family,0.0,0.0,0.0,,1.05,5.9,101
Contact,1997,Robert Zemeckis,Warner Bros.|South Side Amusement Company,Drama|Science Fiction|Mystery,90.0,171.12,81.12,0.9,1.04,6.9,745
Lolita,1997,Adrian Lyne,PathÃ©|Lolita Productions,Drama|Romance,62.0,1.06,-60.94,-0.98,1.03,6.9,120
The Rainmaker,1997,Francis Ford Coppola,Paramount Pictures|Constellation Entertainment,Drama|Crime|Thriller,40.0,45.92,5.920000000000002,0.15,1.01,6.5,113
Volcano,1997,Mick Jackson,Twentieth Century Fox Film Corporation,Science Fiction|Action|Drama|Thriller,90.0,0.0,-90.0,-1.0,1.0,5.0,172
The Jackal,1997,Michael Caton-Jones,Universal Pictures|Toho-Towa|Mutual Film Company|Marubeni|Tele MÃ¼nchen Fernseh Produktionsgesellschaft (TMG),Action|Thriller|Adventure|Crime,60.0,159.33,99.33000000000001,1.66,0.98,6.0,295
Grosse Pointe Blank,1997,George Armitage,Caravan Pictures|Hollywood Pictures|Roger Birnbaum Productions,Action|Comedy|Thriller|Romance,0.0,28.08,28.08,,0.98,6.9,132
Poison Ivy: The New Seduction,1997,Kurt Voss,New Line Cinema|CineTel Pictures|MG Entertainment,Thriller|Romance,0.0,0.0,0.0,,0.98,4.4,16
Flubber,1997,Les Mayfield,Walt Disney Pictures|Great Oaks Entertainment,Comedy|Family|Science Fiction,80.0,177.98,97.97999999999999,1.22,0.96,5.1,385
The Saint,1997,Phillip Noyce,Paramount Pictures|Mace Neufeld Productions|Rysher Entertainment,Thriller|Action|Romance|Science Fiction|Adventure,68.0,118.06,50.06,0.74,0.94,6.0,161
Conspiracy Theory,1997,Richard Donner,Silver Pictures|Warner Bros.|Donner/Shuler-Donner Productions,Action|Drama|Mystery|Thriller,75.0,136.98,61.97999999999999,0.83,0.94,6.4,243
Air Force One,1997,Wolfgang Petersen,Columbia Pictures Corporation|Beacon Communications|Radiant Productions,Action|Thriller,85.0,315.16,230.16000000000003,2.71,0.93,6.1,474
George of the Jungle,1997,Sam Weisman,Walt Disney Pictures,Adventure|Comedy|Family|Romance,55.0,0.0,-55.0,-1.0,0.88,5.2,262
Wag the Dog,1997,Barry Levinson,New Line Cinema|Tribeca Productions|Baltimore Pictures,Comedy|Drama,15.0,64.26,49.260000000000005,3.28,0.86,6.6,120
As Good as It Gets,1997,James L. Brooks,Gracie Films|TriStar Pictures,Comedy|Romance,50.0,314.18,264.18,5.28,0.86,7.0,480
Breakdown,1997,Jonathan Mostow,Paramount Pictures|Dino De Laurentiis Company|Spelling Films,Drama|Action|Thriller,36.0,50.16,14.159999999999997,0.39,0.84,6.5,84
Seven Years in Tibet,1997,Jean-Jacques Annaud,TriStar Pictures|Mandalay Entertainment|Applecross|Reperage & Vanguard Films,History|Drama|Adventure|War,70.0,131.46,61.46000000000001,0.88,0.82,6.9,342
My Best Friend's Wedding,1997,P.J. Hogan,TriStar Pictures,Comedy|Romance,38.0,299.29,261.29,6.88,0.8,6.3,336
Boogie Nights,1997,Paul Thomas Anderson,New Line Cinema|Ghoulardi Film Company|Lawrence Gordon Productions,Drama,15.0,43.1,28.1,1.87,0.78,7.3,438
Lost Highway,1997,David Lynch,Ciby 2000|October Films|Asymmetrical Productions|Lost Highway Productions,Drama|Thriller|Mystery,15.0,3.68,-11.32,-0.75,0.78,7.3,263
Mad City,1997,Costa-Gavras,Warner Bros.|Arnold Kopelson Productions,Action|Drama|Thriller,50.0,10.54,-39.46,-0.79,0.76,5.3,36
"Honey, We Shrunk Ourselves",1997,Dean Cundey,Walt Disney Pictures,Adventure|Comedy|Family|Science Fiction|Action,7.0,0.0,-7.0,-1.0,0.76,5.1,87
Dobermann,1997,Jan Kounen,PolyGram Audiovisuel|Enigma Pictures,Action|Crime,0.0,0.0,0.0,,0.75,6.2,57
Annabelle's Wish,1997,Roy Wilson,Hallmark Entertainment,Family|Animation|Music,0.0,0.0,0.0,,0.74,5.8,12
Bean,1997,Mel Smith,Tiger Aspect Productions|PolyGram Filmed Entertainment|Working Title Films,Comedy,18.0,251.21,233.21,12.96,0.74,6.3,297
The Devil's Own,1997,Alan J. Pakula,Columbia Pictures,Crime|Thriller|Drama,90.0,140.81,50.81,0.56,0.74,5.8,147
